"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Snatch Pull (Barbell)";"4";"112.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Snatch Pull (Barbell)";"5";"112.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Bench Press (Barbell)";"1";"60.0";"15";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Bench Press (Barbell)";"F";"60.0";"10";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Bench Press (Barbell)";"F";"60.0";"6";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Bicep Curl (Barbell)";"1";"32.0";"10";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Bicep Curl (Barbell)";"2";"31.0";"10";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Bicep Curl (Barbell)";"3";"31.0";"10";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Upright Row (Barbell)";"1";"32.0";"8";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Upright Row (Barbell)";"2";"32.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Upright Row (Barbell)";"3";"32.0";"5";"";"";"";"";""
"19";"2024-02-12 12:35:00";"Fighter Pullup Challenge #6";"3600";"Pull Up";"1";"0.0";"7";"";"";"";"";""
"19";"2024-02-12 12:35:00";"Fighter Pullup Challenge #6";"3600";"Pull Up";"2";"0.0";"6";"";"";"";"";""
"19";"2024-02-12 12:35:00";"Fighter Pullup Challenge #6";"3600";"Pull Up";"3";"0.0";"6";"";"";"";"";""
"19";"2024-02-12 12:35:00";"Fighter Pullup Challenge #6";"3600";"Pull Up";"4";"0.0";"6";"";"";"";"";""
