Time,Date,S,H,P,T,L,U,C,X
1561762800.0,2019/06/29,0,0,0,0,0,0,0,0
1562367600.0,2019/07/06,0,0,0,0,0,0,0,0
1562972400.0,2019/07/13,0,0,0,0,0,0,0,0
1563577200.0,2019/07/20,0,0,0,0,0,0,0,0
1564182000.0,2019/07/27,0,0,0,0,0,0,0,0
1564786800.0,2019/08/03,0,0,0,0,0,0,0,0
1565391600.0,2019/08/10,0,0,0,0,0,0,0,0
1565996400.0,2019/08/17,0,0,0,0,0,0,0,0
1566601200.0,2019/08/24,0,0,0,0,0,0,0,0
1567206000.0,2019/08/31,0,0,0,0,0,0,0,0
1567810800.0,2019/09/07,0,0,0,0,0,0,0,0
1568415600.0,2019/09/14,0,0,0,0,0,0,0,0
1569020400.0,2019/09/21,0,0,0,0,0,0,0,0
1569625200.0,2019/09/28,0,0,0,0,0,0,0,0
1570230000.0,2019/10/05,0,0,0,0,0,0,0,0
1570834800.0,2019/10/12,0,0,0,0,0,0,0,0
1571439600.0,2019/10/19,0,0,0,0,0,0,0,0
1572044400.0,2019/10/26,0,0,0,0,0,0,0,0
1572649200.0,2019/11/02,0,0,0,0,0,0,0,0
